Altitude_km,Inclination_deg,0.2_mmAl,0.4_mmAl,0.6_mmAl,0.8_mmAl,1_mmAl,1.25_mmAl,1.5_mmAl,1.75_mmAl,2_mmAl,2.5_mmAl,3_mmAl,4_mmAl,5_mmAl,6_mmAl
400,0,7.124,4.587,3.798,3.466,3.233,3.022,2.871,2.745,2.63,2.44,2.28,2.034,1.857,1.71
400,20,630.9,387.3,300.5,264.9,239.3,218.5,203.5,190.9,179.9,161.6,147,126.1,112.2,1012
400,40,2356,1325,963.2,811.2,703.7,620.5,563.1,515,473.8,406.5,354.4,285.6,244.8,213.6
400,60,1205,686.3,504.8,428.9,375.1,333.1,303.9,279.4,258.4,224,1973,1614,139.6,122.8
400,80,1078,616,453.3,384.9,336.4,298.5,272.2,250.1,231.1,200.1,175.9,143.6,124.1,109
600,0,574.3,350.8,274.1,243.2,221,202.9,189.9,178.9,169.3,153.4,140.6,122,109.3,99.02
600,20,7571,5007,3975,3519,3186,2908,2704,2531,2381,2130,1929,1643,1459,1312
600,40,14520,9171,6982,5979,5260,4681,4270,3925,3627,3140,2758,2248,1943,1709
600,60,7938,5021,3835,3294,2906,2593,2370,2182,2021,1756,1548,1268,1101,970.6
600,80,6508,4141,3175,2733,2416,2159,1976,1821,1688,1470,1298,1067,926.9,818.5
800,0,10650,6862,5399,4774,4320,3944,3670,3438,3237,2902,2632,2249,2000,1801
800,20,35530,25590,21000,18710,17020,15560,14460,13530,12730,11380,10300,8755,7761,7761
800,40,45850,30070,23270,20000,17660,15770,14420,13280,12300,10700,9426,7716,6683,5878
800,60,27240,18100,14140,12230,10850,9729,8924,8244,7658,6693,5927,4888,4252,3754
800,80,23260,15500,12130,10500,9323,8362,7673,7091,6589,5762,5105,4213,3666,3237
1000,0,65420,46640,38260,34190,31190,28590,26650,24990,23560,21160,19200,16420,14600,13150
1000,20,106800,80050,66840,59590,54230,49580,46100,43130,40560,36270,32740,27740,24470,21820
1000,40,107400,71840,56500,48830,43320,38880,35720,33040,30730,26910,23870,19680,17070,14990
1000,60,68750,47000,37370,32460,28920,26040,23970,22220,20700,18200,16190,13430,11690,10300
1000,80,60440,41230,32760,28460,25360,22840,21030,19500,18180,15980,14230,11800,10270,9054
1200,0,252300,191400,161200,144700,132500,121700,113500,106500,100500,90300,81990,70030,62160,55670
1200,20,338400,236100,187800,162600,144500,129900,119600,110900,103400,91040,81330,68110,59810,53160
1200,40,281700,175900,132700,112400,97990,86980,79420,73070,67620,58710,51770,42500,36880,32420
1200,60,179800,113900,86570,73510,64280,57170,52270,48150,44620,38840,34330,28310,24640,21720
1200,80,151400,96970,74240,63300,55540,49520,45350,41840,38820,33880,30010,24810,21610,19060
1400,0,711100,516500,420100,367800,330000,298800,276300,257500,240900,213800,192300,162600,143600,128300
1400,20,710800,473400,365700,311600,273200,243400,222800,205500,190700,166500,147700,122700,107500,95310
1400,40,498500,305400,227500,191200,165700,146600,133600,122700,113300,98160,86440,71020,61760,54430
1400,60,338300,210400,157600,132700,115200,101900,92920,85390,78930,68440,60350,49710,43310,38240
1400,80,294000,183400,137500,115800,100600,89000,81150,74580,68940,59790,52730,43440,37860,33430
